Ship,Class,Type,First commissioned,Fate,Country or organization,Displacement (tons)
Selfridge,Porter,destroyer,25 November 1936,scrapped 1947,United States,"1,850"
Semmes,Clemson,destroyer,21 February 1920,scrapped 25 November 1946,United States,"1,250"
Sendai,Sendai,light cruiser,29 April 1924,sunk 2 November 1943,Imperial Japanese Navy,"5,195"
Sęp,Orzeł,submarine,16 April 1939,decommissioned 15 September 1969,Poland,"1,100"
Seraph,S class,submarine,27 June 1942,paid off 25 October 1962,Royal Navy,814
Serapis,S,destroyer,,"to Royal Dutch Navy as HNLMS Piet Hein, 1945",Royal Navy,"1,710"
Serpente,Argonauta,submarine,28 February 1932,"Scuttled at Ancona, 12 September 1943",Regia Marina,660
Serrano,Serrano,destroyer,18 December 1928,Stricken 29 September 1966,Chile,"1,090"
Severn,River class,submarine,16 January 1934,sold 1946,Royal Navy,
Seydlitz,Admiral Hipper,heavy cruiser,,became Weser (Germany),Kriegsmarine,"14,680"
Shah,Ruler,escort carrier,27 September 1943,paid off 7 February 1946,Royal Navy,"11,400"
Shakespeare,S class,submarine,10 July 1942,paid off 14 July 1946,Royal Navy,814
Shamrock Bay,Casablanca,escort carrier,15 March 1944,"decommissioned 6 July 1946, scrapped 1958",United States,"7,800"
Shangri-La,Essex,aircraft carrier,15 September 1944,"decommissioned 30 July 1971, scrapped 1988",United States,"30,800"
Shark,S class,submarine,31 December 1934,sunk 6 July 1940,Royal Navy,670
Shaw,Mahan,destroyer,18 September 1936,scrapped 1946,United States,"1,450"
Shawinigan,Flower,corvette,19 September 1941,sunk 25 November 1944,Royal Canadian Navy,925
Shediac,Flower,corvette,08 July 1941,paid off 28 August 1945,Royal Canadian Navy,925
Sherbrooke,Flower,corvette,05 June 1941,paid off 28 June 1945,Royal Canadian Navy,925
Shillong,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Shin'yō,,aircraft carrier,15 November 1943,sunk 17 November 1944,Imperial Japanese Navy,"17,500"
Shinano,,aircraft carrier,19 November 1944,sunk 29 November 1944,Imperial Japanese Navy,"64,800"
Shipley Bay,Casablanca,escort carrier,21 March 1944,"decommissioned 28 June 1946, scrapped 1960",United States,"7,800"
Shōhō,Zuihō,aircraft carrier,30 November 1941,sunk 8 May 1942,Imperial Japanese Navy,"11,260"
Shōkaku,Shōkaku,aircraft carrier,08 August 1941,sunk 19 June 1944,Imperial Japanese Navy,"25,675"
Sibyl,S class,submarine,16 August 1942,"Broken up, 1948",Royal Navy,814
Sickle,S class,submarine,01 December 1942,likely sunk June 1944,Royal Navy,814
Sikh,Tribal,destroyer,12 October 1938,sunk 17 January 1941,Royal Navy,"2,020"
Simone Schiaffino,Rosolino Pilo,torpedo boat,07 November 1915,She seized the Greek steamer Athinai off Messina on 20 October 1940. Sunk by an Italian mine off Cap Bon 24 April 1941.,Regia Marina,912
Simoom,S class,submarine,30 December 1942,sunk November 1943,Royal Navy,814
Sims,Sims,destroyer,01 August 1939,sunk 7 May 1942 during Battle of Coral Sea,United States,"1,570"
Sioux,V,destroyer,14 September 1943,paid off 30 October 1963,Royal Canadian Navy,"1,710"
Sirdar,S class,submarine,20 September 1943,"broken up, 1965",Royal Navy,814
Sirena,Sirena,submarine,26 January 1933,"Scuttled, 9 September 1943",Regia Marina,691
Sirio,Spica,torpedo boat,01 March 1936,"She was the first Italian unit to spot the enemy in the battle of Cape Spartivento, and on 16 February 1943, Sirio led the escort of a four-ship convoy that detected by sonar and fought off three British MTBs (MTB 77, MTB 82 and MTB 62) south of Marettimo. Survived the war and served in the post war Marina Militare. Decommissioned 1959.",Regia Marina,795
Sitkoh Bay,Casablanca,escort carrier,28 March 1944,"decommissioned 27 July 1954, scrapped 1960",United States,"7,800"
Skagerak,minelayer,minelayer,01 January 1940,Sunk 20 January 1944 by Bristol Beaufighters of No. 489 Squadron RNZAF,Kriegsmarine,"1,281"
Skeena,A,destroyer,10 June 1931,sunk 25 October 1944,Royal Canadian Navy,"1,350"
Ślązak,Hunt,destroyer escort,09 May 1942,paid off 28 September 1946.,Poland,"1,050"
Slinger,Ruler,escort carrier,11 August 1943,"paid off 12 April 1946, scrapped 1969/70",Royal Navy,"8,333"
Sluys,Battle,destroyer,30 September 1946,paid off 1953,Royal Navy,"2,325"
Smeraldo,Sirena,submarine,23 July 1933,"Lost, September 1941",Regia Marina,691
Smilax,Flower modified,corvette,21 June 1943,paid off 9 October 1945,Royal Navy,"1,015"
Smiter,Ruler,escort carrier,20 January 1944,"paid off 6 May 1946, scrapped 1967",Royal Navy,"7,800"
Smith,Mahan,destroyer,19 September 1936,scrapped 1946,United States,"1,450"
Smiths Falls,Flower modified,corvette,28 November 1944,"Sold in 1950 to Honduras, converted to whale catcher Olympic Lightning. Resold in 1956 to Japan as Otori Maru No. 16, 1961 renamed Kyo Maru No. 23.",Royal Canadian Navy,"1,015"
Snapper,S class,submarine,25 October 1934,sunk February 1941,Royal Navy,670
Snowberry,Flower,corvette,26 November 1940,paid off 8 June 1945,Royal Canadian Navy,925
Snowdrop,Flower,corvette,30 July 1941,Sold on 17 May 1947. Scrapped in September 1949 at Newcastle upon Tyne.,Royal Navy,925
Snowflake,Flower,corvette,02 November 1941,Formerly Zenobia. Shared sinking of U-125 3 July 43 by gunfire. Sold in 1947 as weather ship Weather Watcher. Scrapped in May 1962 at Dublin.,Royal Navy,925
Sodio,Flutto,submarine,,"unfinished at armistice September 1943, continued by Germans, launched 16/3/1944 as UIT 9. Scuttled May 1945",Regia Marina,930
Soemba,Flores,sloop,12 April 1926,scrapped June/July 1985,Royal Netherlands Navy,"1,457"
Soerabaja,De Zeven Provinciën,coastal defence ship,06 October 1910,"Sunk 18 February 1942, salvaged in 1942 by Imperial Japanese Navy and used as a battery ship, sunk in 1943 by Allied aircraft",Royal Netherlands Navy,"6,530"
Solebay,Battle,destroyer,25 September 1945,"paid off April 1962, scrapped 1967",Royal Navy,"2,325"
Solferino,Palestro,torpedo boat,01 October 1921,"captured by the Germans at Souda, Crete, on 9 September 1943, and was commissioned into the Kriegsmarine on 25 July 1944 as TA18.",Regia Marina,875
Sollum,,sloop,,,Egypt,"1,290"
Solomons,Casablanca,escort carrier,21 November 1943,"decommissioned 15 May 1946, scrapped 1947",United States,"7,800"
Somali,Cannon,destroyer escort,09 April 1944,"Disarmed 1956, used as an experimental vessel",Free French Naval Forces,"1,240"
Somali,Tribal,destroyer,12 December 1938,sunk 24 September 1942,Royal Navy,"2,020"
Somers,Somers,destroyer,01 December 1937,scrapped 1947,United States,"1,850"
Sorel,Flower,corvette,19 August 1941,paid off 22 June 1945,Royal Canadian Navy,925
Sōryū,,aircraft carrier,29 January 1937,sunk 4 June 1942,Imperial Japanese Navy,"15,900"
South Dakota,South Dakota,battleship,20 March 1942,"decommissioned 31 January 1947, scrapped 1962",United States,"35,000"
Southampton,Southampton,light cruiser,06 March 1937,bombed and scuttled 11 January 1941,Royal Navy,"9,100"
Southdown,Hunt,destroyer escort,08 November 1940,"paid off 1946, scrapped 1956",Royal Navy,"1,050"
Southwold,Hunt,destroyer escort,09 October 1941,sunk 24 March 1942,Royal Navy,"1,050"
Spada,Ariete,torpedo boat,01 July 1943,"Sank British motor boat ML-1227 on 5 October 1944. Sunk 13 October 1944, scuttled after being damaged by air strike.",Regia Marina,745
Sparide,Flutto,submarine,21 February 1943,scuttled in September 1943 at armistice. Raised by the Germans as UIT 15; destroyed in air raid in 1944,Regia Marina,930
Speaker,Ruler,escort carrier,20 November 1943,"paid off 25 September 1946, scrapped 1972",Royal Navy,"8,333"
Spearfish,S class,submarine,11 December 1936,sunk 1 August 1940,Royal Navy,670
Spetsai,Freccia modified,destroyer,01 January 1933,decommissioned 1946,Hellenic Navy,"1,350"
Spica,Ariete,torpedo boat,,Lost 13 April 1945 to British motor torpedo boats in the Morlacca channel.,Regia Marina,745
Spica,Spica,torpedo boat,30 May 1935,Sold to Sweden as Romulus in 1940. Decommissioned 1958.,Regia Marina,795
Spigola,Flutto,submarine,,Broken up in 1948,Regia Marina,930
Spikenard,Flower,corvette,06 December 1940,"to Canada 15 May 1941, sunk on 11 February 1942 by U-136",Royal Navy,925
Spiraea,Flower,corvette,27 February 1941,Sold in August 1947. Resold in 1948 as mercantile Thessalonika.,Royal Navy,925
Spiteful,S class,submarine,06 October 1943,Scrapped,Royal Navy,814
Splendid,S class,submarine,08 August 1942,scuttled 21 April 1943,Royal Navy,814
Sportsman,S class,submarine,21 December 1942,to the French navy on 8 July 1952,Royal Navy,814
Springbank,,fighter catapult ship,,sunk 27 September 1941,Royal Navy,
Springhill,River,frigate,21 March 1944,paid off 1 December 1945,Royal Canadian Navy,"1,445"
Squadrista,Soldati,destroyer,,Captured incomplete by Germany September 1943. Towed to Genoa for completion as TA33. Sank 4 September 1944 by allied bombs while undergoing trials at La Spezia.,Regia Marina,"1,850"
Squalo,Squalo,submarine,1 January 1928,"withdrawn from service, 9 September 1943.",Regia Marina,920
Sri Ayudhya,Thonburi,coastal defence ship,19 July 1938,sunk 1 July 1951,Royal Thai Navy,"2,350"
St Albans,Town,destroyer,23 September 1940,"to Norway 14 April 1941, to USSR 16 July 1944, scrapped 1949",Royal Navy,"1,190"
St Clair,Town,destroyer,24 September 1940,paid off 1946,Royal Canadian Navy,"1,190"
St Croix,Clemson,destroyer,24 September 1940,sunk 22 September 1943,Royal Canadian Navy,"1,190"
St Francis,Clemson,destroyer,24 September 1940,"paid off 1945, sank under tow July 1945",Royal Canadian Navy,"1,216"
St Laurent,C,destroyer,17 February 1937,paid off 10 October 1945,Royal Canadian Navy,"1,375"
St. Catharines,River,frigate,31 July 1943,paid off 14 December 1945,Royal Canadian Navy,"1,445"
St. Kitts,Battle,destroyer,21 January 1946,"paid off 1957, scrapped February 1962",Royal Navy,"2,325"
St. Lambert,Flower modified,corvette,27 May 1944,Sold in 1946 to Panama as Chrysi Hondroulis. Resold in 1955 to Greece as Loula.,Royal Canadian Navy,"1,015"
St. Lo ex-Midway,Casablanca,escort carrier,23 October 1943,lost in action 25 October 1944,United States,"7,800"
St. Louis,St. Louis class,light cruiser,19 May 1939,"to Brazil as Tamandare 1951, sunk under tow 1980",United States,"10,000"
St. Pierre,River,frigate,28 August 1944,paid off 22 November 1945,Royal Canadian Navy,"1,445"
St. Stephen,River,frigate,28 July 1944,paid off 30 January 1946,Royal Canadian Navy,"1,445"
Stack,Benham,destroyer,20 November 1939,scuttled after A-bomb test 1948,United States,"1,500"
Stalker,Attacker,escort carrier,21 December 1942,"paid off 29 December 1945, sold into merchant service as Riouw",Royal Navy,"14,400"
Starwort,Flower,corvette,26 May 1941,"Shared sinking of U-660 12 November 42 (scuttled). Sold in 1948, converted to whale catcher Southern Broom. 1963 laid up. Scrapped on 9 January 1967 at Bruges.",Royal Navy,925
Statice,Flower modified,corvette,20 September 1943,paid off May 1947,Royal Navy,"1,015"
Ste. Therese,River,frigate,28 May 1944,paid off 30 January 1967,Royal Canadian Navy,"1,445"
Steamer Bay,Casablanca,escort carrier,04 April 1944,"decommissioned January 1947, scrapped 1959",United States,"7,800"
Stella Polare,Ariete,torpedo boat,11 July 1943,Towed damaged TA37 to safety after a battle with French destroyers Le Terrible and Le Malin at Battle of Ist in February 1944. Sunk 18 March 1944 by a German mine.,Regia Marina,745
Stellarton,Flower modified,corvette,29 September 1944,Sold in 1946 to Chile as Casma.,Royal Canadian Navy,"1,015"
Stembel,Fletcher,destroyer,16 July 1943,"loaned to Argentina as Rosales 1961, scrapped 1982",United States,"2,050"
Sterett,Benham,destroyer,15 August 1939,scrapped 1947,United States,"1,500"
Sterlet,S class,submarine,06 April 1938,sunk 18 April 1940,Royal Navy,670
Stettler,River,frigate,07 May 1944,paid off 31 August 1966,Royal Canadian Navy,"1,445"
Stevenson,Gleaves,destroyer,15 December 1942,"decommissioned 1946, scrapped 1970",United States,"1,630"
Stevenstone,Hunt,destroyer escort,18 March 1943,Scrapped in 1959,Royal Navy,"1,050"
Stewart,Clemson,destroyer,15 September 1920,"scuttled 2 March 1942, raised by IJN and recommissioned September 1943",United States,"1,200"
Stier,,auxiliary cruiser,25 November 1939,sunk 27 September 1942,Kriegsmarine,"11,000"
Stockton,Gleaves,destroyer,11 January 1943,"decommissioned 1946, scrapped 1973",United States,"1,630"
Stone Town,River,frigate,21 July 1944,paid off 13 November 1945,Royal Canadian Navy,"1,445"
Stonecrop,Flower,corvette,30 July 1941,Shared sinking of U-124 2 April 43. Shared sinking of U-634 30 August 43. Sold on 17 May 1947. Resold in 1949 as mercantile Silver King. 1952 in Dutch service as whale catcher Martha W. Vinke (AM 6²).,Royal Navy,925
Stord,S,destroyer,29 September 1943,scrapped 1959,Royal Norwegian Navy,"2,400"
Stormont,River,frigate,27 November 1943,paid off 9 November 1945,Royal Canadian Navy,"1,445"
Strale,Freccia,destroyer,06 February 1932,"Ran aground and wrecked, 21 March 1942.Destroyed by torpedoes, 6 August 1942",Regia Marina,"1,225"
Strasbourg,Dunkerque,battleship,01 February 1939,scuttled 27 November 1942,French Navy,"26,500"
Strathadam,River,frigate,29 September 1944,paid off 7 November 1945,Royal Canadian Navy,"1,445"
Strathroy,Flower modified,corvette,20 November 1944,Sold in 1946 to Chile as Chipana.,Royal Canadian Navy,"1,015"
Striker,Attacker,escort carrier,29 April 1943,"paid off 12 February 1946, scrapped 1948",Royal Navy,"10,000"
Strule,River,frigate,,"to Free French 25 September 1944 as Croix de Lorraine,Decommissioned 1961",Royal Navy,"1,370"
Sudbury,Flower,corvette,15 October 1941,paid off 28 August 1945,Royal Canadian Navy,925
Suffren,Suffren,heavy cruiser,01 January 1930,scrapped 1974,French Navy,"9,940"
Sullivans,Fletcher,destroyer,04 April 1943,museum ship,United States,"2,050"
Sumatra,Java,cruiser,26 May 1926,"scuttled off the coast of Normandy on 9 June 1944 at Ouistreham as part of a ""gooseberry"" pier to protect an artificial Allied Mulberry Harbour built as part of Operation Overlord.",Royal Netherlands Navy,"6,670"
Summerside,Flower,corvette,11 September 1941,paid off 6 July 1945,Royal Canadian Navy,925
Sundew,Flower,corvette,,Transferred on 19 September 1941 to the Free French Navy as Roselys. Returned to RN in 1947. Sold on 23 October 1947 and scrapped in May 1948 at Troon.,Royal Navy,925
Sunfish,S class,submarine,02 July 1937,sunk 27 July 1944,Royal Navy,670
Sunflower,Flower,corvette,25 January 1941,The most successful Royal Navy Flower-class. Shared sinking of U-282 29 October 43. Sank single-handed 2 U-boats: U-631 17 October 43 and U-638 5 May 43. Scrapped in August 1947 at Hayle.,Royal Navy,925
Sussexvale,River,frigate,29 November 1944,paid off 30 November 1966,Royal Canadian Navy,"1,445"
Sutlej,Black Swan,sloop,23 April 1941,,Royal Indian Navy,"1,250"
Suwannee,Sangamon,escort carrier,24 September 1942,"decommissioned 8 January 1947, scrapped 1960",United States,"24,275"
Suzuya,Mogami,heavy cruiser,01 October 1937,sunk 25 October 1944 during Battle off Samar,Imperial Japanese Navy,"15,900"
Svenner,S,destroyer,11 March 1944,sunk 6 June 1944,Royal Norwegian Navy,"1,710"
Sverige,Sverige,coastal defence ship,14 May 1917,"paid off 30 January 1953, scrapped 1958",Swedish Navy,"6,852"
Swale,Loch,frigate,,to South Africa 29 July 1945 scrapped February 1955,Royal Navy,"1,370"
Swansea,River,frigate,04 October 1943,paid off 14 October 1966,Royal Canadian Navy,"1,445"
Swanson,Gleaves,destroyer,29 May 1941,"decommissioned 1945, scrapped 1972",United States,"1,630"
Sweetbriar,Flower,corvette,08 September 1941,Sold on 29 July 1946. Resold in June 1949 as whale catcher Star IX. Scrapped in April 1966 at Bruges.,Royal Navy,925
Swift,S,destroyer,12 December 1943,Sunk by mine on 24 June 1944,Royal Navy,"1,710"
Sydney,modified Leander class,light cruiser,24 September 1935,lost 19 November 1941,Royal Australian Navy,"6,980"
T13,1937,torpedo boat,31 May 1941,Sunk 10 April 1945 in Skagerrak by air attack.,Kriegsmarine,"1,098"
T14,1937,torpedo boat,14 June 1941,Transferred to France as Dompaire. Stricken 8 November 1951 and scrapped.,Kriegsmarine,"1,098"
T15,1937,torpedo boat,26 June 1941,Sunk 13 December 1943 at Kiel by RAF bombers.,Kriegsmarine,"1,098"
T16,1937,torpedo boat,24 July 1941,"Damaged beyond repair, 13 April 1945",Kriegsmarine,"1,098"
T17,1937,torpedo boat,18 August 1941,"Transferred to USSR post war, served as destroyer Poryvisty (Порывистый). Later (1952) East German Rosa Luxembourg; broken up 1957.",Kriegsmarine,"1,098"
T18,1937,torpedo boat,22 November 1941,Sunk 17 September 1944; rocket attack by Soviet aircraft near the Åland Islands.,Kriegsmarine,"1,098"
T19,1937,torpedo boat,18 December 1941,"Transferred to US post war, then Denmark. Broken up 1951 without re-commissioning.",Kriegsmarine,"1,098"
T20,1937,torpedo boat,"5 June 1942	",Transferred to France as Baccarat. Stricken 8 November 1951 and scrapped.,Kriegsmarine,"1,098"
T21,1937,torpedo boat,"11 July 1942	",Transferred to USA post war; scuttled 16 December 1946 in Skagerrak.,Kriegsmarine,"1,098"
Taihō,Taihō,aircraft carrier,07 March 1944,Sunk 19 June 1944,Imperial Japanese Navy,"29,300"
Taiyō,Taiyō,escort carrier,02 September 1941,sunk 18 August 1944,Imperial Japanese Navy,"18,116"
Takao,Takao,heavy cruiser,31 May 1932,Sunk 31 July 1945,Imperial Japanese Navy,"13,160"
Talybont,Hunt,destroyer escort,19 May 1943,Sold for scrap 1961,Royal Navy,"1,050"
Tama,Kuma-class,light cruiser,29 January 1921,Sunk 20 October 1944,Imperial Japanese Navy,"5,200"
Tamarisk,Flower,corvette,01 November 1943,to Greece as Tombazis November 1943. scrapped 1952,Royal Navy,925
Tanatside,Hunt,destroyer escort,01 August 1942,"paid off 1946, scrapped 1964",Royal Navy,"1,050"
Tannenberg,,minelayer,02 September 1939,Decommssioned on 9/7/1941,Kriegsmarine,"1,098"
Tapperheten,Äran,coastal defence ship,,"paid off 1947, scrapped 1952",Swedish Navy,"3,650"
Taranto,Taranto,light cruiser,01 January 1920,Sunk by air attack in 1944,Regia Marina,"4,564"
Tarmo,escort and icebreaker,,,,Finland,"2,300"
Tartar,Tribal,destroyer,10 March 1939,Scrapped 22 February 1948,Royal Navy,"2,020"
Tasajera,Maracaibo,"landing ship, tank",01 December 1941,paid off  1945,Royal Navy,"4,193"
Tatsuta,Tenryū,light cruiser,31 May 1919,Sunk 13 March 1944,Imperial Japanese Navy,"4,350"
Tattnall,Wickes,destroyer,26 June 1919,Decommissioned 17 December 1945,United States,"1,060"
Taylor,Fletcher,destroyer,28 August 1942,Decommissioned 31 May 1946,United States,"2,050"
Teazer,T,destroyer,13 September 1943,Scrapped 7 August 1965,Royal Navy,"1,710"
Tegualda,H,submarine,01 January 1917,scrapped 1945,Chile,441
Tembien,Adua,submarine,6 February 1938,"sunk on 2 August 1941, west of Malta, by HMS Hermione",Regia Marina,697
Teme,River,frigate,,,Royal Canadian Navy,"1,445"
Tenacious,T,destroyer,30 October 1943,scrapped June 1965,Royal Navy,"1,710"
Tennessee,Tennessee,battleship,03 June 1920,"Decommissioned 14 February 1947, scrapped 1959",United States,"33,190"
Tenryū,Tenryū,light cruiser,20 November 1919,Sunk 18 December 1942,Imperial Japanese Navy,"4,350"
Termagant,T,destroyer,08 October 1943,"paid off 1960, scrapped 5 November 1965",Royal Navy,"1,710"
Terpsichore,T,destroyer,20 January 1944,scrapped 17 May 1966,Royal Navy,"1,710"
Terror,Erebus,monitor,06 August 1916,Sunk 24 February 1941,Royal Navy,"8,000"
Teruzuki,Akizuki,destroyer,11 June 1942,sunk 12 December 1942,Imperial Japanese Navy,"2,700"
Tetcott,Hunt,destroyer escort,02 December 1941,scrapped 1956,Royal Navy,"1,050"
Teviot,River,frigate,,"to South Africa 10 June 1945, scrapped March 1955",Royal Navy,"1,370"
Texas,New York,battleship,12 March 1914,Decommissioned 21 April 1948; museum ship,United States,"27,000"
Thames,River class,submarine,14 September 1932,"Missing, probably mined 23 July 1940",Royal Navy,"2,165"
Thane,Ruler,escort carrier,19 November 1943,"paid off October 1945, scrapped 1946",Royal Navy,"7,800"
The Pas,Flower,corvette,21 October 1941,paid off 24 July 1945,Royal Canadian Navy,925
Thetford Mines,River,frigate,24 May 1944,paid off 18 November 1945,Royal Canadian Navy,"1,445"
Thetis,Tordenskjold,coastal defence ship,21 March 1898,"Norway Harald Haarfagre, captured by Germany 9 April 1940,  scrapped 1948",Kriegsmarine,"3,858"
Thompson,Gleaves,destroyer,10 July 1943,"decommissioned 1954, scrapped 1972",United States,"1,630"
Thonburi,Thonburi,coastal defence ship,31 January 1938,"wrecked 17 January 1941, refitted, struck 19 June 1959",Royal Thai Navy,"2,265"
Thor,,auxiliary cruiser,15 March 1940,accidentally burnt 30 November 1942,Kriegsmarine,"9,200"
Thorlock,Flower modified,corvette,13 November 1944,Sold in 1946 to Chile as Papudo.,Royal Canadian Navy,"1,015"
Thorn,Gleaves,destroyer,01 April 1943,"decommissioned 1946, sunk as target 1974",United States,"1,630"
Thyme,Flower,corvette,23 October 1941,Sold in 1947 as weather ship Weather Explorer. Resold in 1958 as mercantile Epos and scrapped in Hong Kong in 1962.,Royal Navy,925
Ticonderoga,Essex,aircraft carrier,08 May 1944,"decommissioned 1 September 1973, scrapped 1975",United States,"30,800"
Tifone,Ciclone,torpedo boat,31 March 1942,"Close escort of the Cigno convoy on 16 April 1943, when she shepherded the transport Belluno to Trapani. As part of the same mission, she delivered aviation fuel to Bizerte. After successfuly repeating the ressuply operation in the first days of May, Tifone was damaged by USAAF aircraft and scuttled at Korbous, Tunisia, on 7 May 1943",Regia Marina,910
Tiger,1924 Raubtier,torpedo boat,15 January 1929,"Wrecked in collision with destroyer Z3 Max Schultz, 27 August 1939",Kriegsmarine,"1,320"
Tigre,Leone,destroyer,10 October 1924,Scuttled 3/4 April 1941,Regia Marina,"2,195"
Tillman,Gleaves,destroyer,04 June 1942,"decommissioned 1947, scrapped 1972",United States,"1,630"
Timmins,Flower,corvette,10 February 1942,paid off 15 July 1945,Royal Canadian Navy,925
Tirpitz,Bismarck,battleship,25 February 1941,sunk 12 November 1944,Kriegsmarine,"42,900"
Tito Speri,Mameli,submarine,4 January 1929,"Discarded, 1 February 1949",Regia Marina,823
Tjerk Hiddes,N class,destroyer,27 May 1942,"Transferred to Indonesia 1 March 1951, renamed Gadja Mada. Scrapped 1961",Royal Netherlands Navy,"1,760"
Togo,Night fighter direction vessel,,13 August 1938,ran aground 21 November 1984,Kriegsmarine,"12,700"
Tokiwa,Asama-class,armored cruiser,18 May 1899,Sunk 9 August 1945,Imperial Japanese Navy,"9,700"
Tone,Tone,heavy cruiser,30 November 1938,Sunk 14 July 1945,Imperial Japanese Navy,"15,200"
Topazio,Sirena,submarine,15 May 1933,"Sunk, 12 September 1943",Regia Marina,691
Topeka,Cleveland,light cruiser,23 December 1944,"converted to missile cruiser 1960, scrapped 1975",United States,"11,800"
Toronto,River,frigate,06 May 1944,paid off 14 April 1956,Royal Canadian Navy,"1,445"
Torricelli,Brin,submarine,26 March 1939,"Sunk in the Red Sea, 23 June 1940 by British destroyers HMS Kandahar, HMS Khartoum, HMS Kingston and sloop HMS Shoreham, The submarine was commanded by Salvatore Pelosi",Regia Marina,"1,000"
Torridge,River,frigate,01 January 1944,to Free French 1944 as Surprise,Royal Navy,"1,370"
Tourville,Duquesne,heavy cruiser,01 December 1928,condemned 1962,French Navy,"10,000"
Tracker,Ruler,escort carrier,31 January 1943,"paid off 2 November 1946, scrapped 1964",Royal Navy,"14,400"
Trafalgar,Battle,destroyer,23 July 1945,"paid off 1963, scrapped 1970",Royal Navy,"2,325"
Trail,Flower,corvette,30 April 1941,paid off 17 July 1945,Royal Canadian Navy,925
Transvaal,Loch,frigate,21 May 1945,"Decommissioned 14 August 1964, and sunk as artificial reef",South African Navy,"1,435"
Transylvania,,armed merchant cruiser,05 October 1939,sunk 10 August 1940,Royal Navy,"16,923"
Travancore,Basset,minesweeper,1941–1944,1941–1944,Royal Indian Navy,529
Trento,Trento,heavy cruiser,01 January 1929,sunk 14 June 1942,Regia Marina,"10,511"
Trenton,Omaha,light cruiser,19 April 1924,scrapped 1946,United States,"7,050"
Trentonian,Flower modified,corvette,01 December 1943,sunk 22 February 1945 by U-1004,Royal Canadian Navy,"1,015"
Tricheco,Squalo,submarine,1 January 1928,"sunk by the British submarine Upholder off Brindisi in the Adriatic Sea at 40°45′N 17°56′E, 18 March 1942.",Regia Marina,920
Trieste,Trento,heavy cruiser,01 January 1928,sunk 1943,Regia Marina,"10,511"
Trillium,Flower,corvette,31 October 1940,paid off 27 June 1945,Royal Canadian Navy,925
Trinidad,Crown Colony-class (Fiji Group),light cruiser,14 October 1941,sunk 15 May 1942,Royal Navy,"8,000"
Trippe,Benham,destroyer,01 November 1939,scuttled after A-bomb test 1948,United States,"1,500"
Tritone,Flutto,submarine,3 January 1942,sunk 19 January 1943 by destroyer Antelope and corvette Port Arthur,Regia Marina,930
Tromp,Tromp,cruiser,18 August 1938,decommissioned 1955,Royal Netherlands Navy,"3,455"
Troubridge,T,destroyer,08 March 1943,"paid off 27 March 1969, scrapped 1970",Royal Navy,"1,710"
Trouncer,Ruler,escort carrier,31 January 1944,"paid off 12 April 1946, scrapped 1973",Royal Navy,"7,800"
Trumpeter,Ruler,escort carrier,04 August 1943,"paid off 19 June 1946, scrapped 1971",Royal Navy,"7,800"
Tsingtau,Supply escort and Schnellboot tender,,24 September 1934,,Kriegsmarine,"2,490"
Tucker,Mahan,destroyer,23 July 1936,sunk 4 August 1942,United States,"1,450"
Tucson,Atlanta,light cruiser,03 February 1945,scrapped 1971,United States,"6,000"
Tucuman,Mendoza,destroyer,03 May 1929,Discarded 30 April 1962,Argentina,"1,570"
Tulip,Flower,corvette,18 November 1940,Sold in May 1947. Resold in 1950 as whale catcher Olympic Conqueror. Confiscated November 1954 by Peru. In 1956 sold to Japan as Otori Maru No. 8. Resold in 1957 as Thorlyn and in November 1964 to Sweden. Scrapped in 1965 in West Germany.,Royal Navy,925
Tumult,T,destroyer,02 April 1943,Scrapped 25 October 1965,Royal Navy,"1,710"
Tunisien,Cannon,destroyer escort,11 February 1944,Decommissioned May 1964,Free French Naval Forces,"1,240"
Tunsberg Castle,Castle-class,corvette,17 April 1944,Sunk 12 December 1944,Norway,"1,010"
Turbine,Sauro,destroyer,21 April 1927,Sunk by rockets fired by USAAF aircraft in Salamis.,Regia Marina,"1,058"
Turchese,Perla,submarine,1 February 1948,Struck,Regia Marina,695
Turner,Gleaves,destroyer,15 April 1943,exploded 3 January 1944,United States,"1,630"
Tuscaloosa,New Orleans class,heavy cruiser,17 August 1934,"Decommissioned 13 February 1946, scrapped 1959",United States,"9,950"
Tuscan,T,destroyer,11 March 1943,Scrapped 26 May 1966,Royal Navy,"1,710"
Tynedale,Hunt,destroyer escort,02 December 1940,sunk 12 December 1943,Royal Navy,"1,050"
Tyrian,T,destroyer,08 April 1943,scrapped 9 March 1965,Royal Navy,"1,710"
U-103,Type IXB,u-boat,05 July 1940,Sunk on 15 April 1945 at Kiel in an Allied bombing raid.,Kriegsmarine,"1,051"
U-104,Type IXB,u-boat,19 August 1940,Missing since 28 November 1940 north-west of Ireland. All hands presumed lost.,Kriegsmarine,"1,051"
U-105,Type IXB,u-boat,10 September 1940,Sunk 2 June 1943 near Dakar. All hands lost.,Kriegsmarine,"1,051"
U-106,Type IXB,u-boat,24 September 1940,"Sunk on 2 August 1943 north-west of Cape Ortegal, Spain. 22 dead and 36 survivors.",Kriegsmarine,"1,051"
U-107,Type IXB,u-boat,08 October 1940,Sunk on 18 August 1944 by depth charges from British aircraft.,Kriegsmarine,"1,051"
